0,X,05,lift,,3.9,,
1,X,06,small spray,,3.9,,
2,X,08,heat lot,,3.9,,
3,,10,group,A unit of count defining the number of groups (group: set of items classified together).,3.9,,
4,,11,outfit,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).,3.9,,
5,,13,ration,A unit of count defining the number of rations (ration: a single portion of provisions).,3.9,,
6,,14,shot,A unit of liquid measure. especially related to spirits.,3.9,,
7,,15,stick. military,A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).,3.9,,
8,X,16,hundred fifteen kg drum,,3.3,,
9,X,17,hundred lb drum,,3.3,,
10,X,18,fiftyfive gallon (US) drum,,3.3,,
11,X,19,tank truck,,3.4,,
12,,20,twenty foot container,A unit of count defining the number of shipping containers that measure 20 foot in length.,3.4,,
13,,21,forty foot container,A unit of count defining the number of shipping containers that measure 40 foot in length.,3.4,,
14,,22,decilitre per gram,,1M,dl/g,10⁻¹ x m³/kg
15,,23,gram per cubic centimetre,,1S,g/cm³,10³ kg/m³
16,,24,theoretical pound,A unit of mass defining the expected mass of material expressed as the number of pounds.,3.1,,
17,,25,gram per square centimetre,,1M,g/cm²,10 kg/m²
18,X,26,actual ton,,3.1,,
19,,27,theoretical ton,A unit of mass defining the expected mass of material. expressed as the number of tons.,3.1,,
20,,28,kilogram per square metre,,1,kg/m²,kg/m²
21,X,29,pound per thousand square foot,,3.8,lb/kft²,
22,X,30,horse power day per air dry metric ton,,3.5,,
23,X,31,catch weight,,3.9,,
24,X,32,kilogram per air dry metric ton,,3.5,,
25,,33,kilopascal square metre per gram,,1M,kPa·m²/g,10⁶ m/s²
26,,34,kilopascal per millimetre,,1M,kPa/mm,10⁶ kg/(m² x s²)
27,,35,millilitre per square centimetre second,,1M,ml/(cm²·s),10⁻² m/s
28,X,36,cubic foot per minute per square foot,Conversion factor required,1M,ft³/(min/ft²),
29,,37,ounce per square foot,,2,oz/ft²,0.305 151 7 kg/m²
30,,38,ounce per square foot per 0.01inch,,3.9,oz/(ft²/cin),
31,,40,millilitre per second,,1M,ml/s,10⁻⁶ m³/s
32,,41,millilitre per minute,,1M,ml/min,1.666 67 x 10⁻⁸ m³/s
33,X,43,super bulk bag,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction. 1st sheet).,3.3,,
34,X,44,fivehundred kg bulk bag,,3.3,,
35,X,45,threehundred kg bulk bag,,3.3,,
36,X,46,fifty lb bulk bag,,3.3,,
37,X,47,fifty lb bag,,3.3,,
38,X,48,bulk car load,,3.4,,
39,X,53,theoretical kilogram,,3.1,,
40,X,54,theoretical tonne,,3.1,,
41,,56,sitas,A unit of area for tin plate equal to a surface area of 100 square metres.,3.9,,
42,,57,mesh,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.,3.9,,
43,,58,net kilogram,A unit of mass defining the total number of kilograms after deductions.,3.1,,
44,,59,part per million,A unit of proportion equal to 10⁻⁶.,3.7,ppm,1 x 10⁻⁶
45,,60,percent weight,A unit of proportion equal to 10⁻².,3.7,,1 x 10⁻²
46,,61,part per billion (US),A unit of proportion equal to 10⁻⁹.,3.7,ppb,1 x 10⁻⁹
47,X,62,percent per 1000 hour,,3.7,,
48,X,63,failure rate in time,,3.9,,
49,D,64,pound per square inch. gauge,,3.1,,7.030 696 x 10² kg/m²
50,D,66,oersted,,3.5,Oe,7.957 747 x 10 A/m
51,X,69,test specific scale,,3.9,,
52,X,71,volt ampere per pound,,3.9,,
53,X,72,watt per pound,,3.9,,
54,X,73,ampere tum per centimetre,,3.9,,
55,,74,millipascal,,1S,mPa,10⁻³ Pa
56,D,76,gauss,,3.5,Gs,10⁻⁴ T
57,,77,milli-inch,,2,mil,25.4 x 10⁻⁶ m
58,D,78,kilogauss,,3.5,kGs,10⁻¹ T
59,,80,pound per square inch absolute,,2,lb/in²,7.030 696 x 10² kg/m²
60,,81,henry,,1,H,H
61,D,84,kilopound-force per square inch,A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch (common code N20).,2,klbf/in²,6.894 757 x 10⁶ Pa
62,,85,foot pound-force,,2,ft·lbf,1.355 818 J
63,,87,pound per cubic foot,,2,lb/ft³,1.601 846 x 10¹ kg/m³
64,,89,poise,,2,P,0.1 Pa x s
65,X,90,Saybold universal second,,3.9,,
66,,91,stokes,,2,St,10⁻⁴ m²/s
67,X,92,calorie per cubic centimetre,,3.9,,
68,X,93,calorie per gram,Use International Table (IT) calorie per gram (common code D75).,3.5,cal/g,4.186 8 x 10³ J/kg
69,X,94,curl unit,,3.9,,
70,X,95,twenty thousand gallon (US) tankcar,,3.4,,
71,X,96,ten thousand gallon (US) tankcar,,3.4,,
72,X,97,ten kg drum,,3.3,,
73,X,98,fifteen kg drum,,3.3,,
74,X,1A,car mile,,3.5,,
75,X,1B,car count,,3.5,,
76,X,1C,locomotive count,,3.5,,
77,X,1D,caboose count,,3.5,,
78,X,1E,empty car,,3.5,,
79,X,1F,train mile,,3.5,,
80,X,1G,fuel usage gallon (US),,3.5,,
81,X,1H,caboose mile,,3.5,,
82,,1I,fixed rate,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.,3.9,,
83,X,1J,ton mile,,3.5,,
84,X,1K,locomotive mile,,3.5,,
85,X,1L,total car count,,3.5,,
86,X,1M,total car mile,,3.5,,
87,X,1X,quarter mile,,3.8,,
88,,2A,radian per second,Refer ISO/TC12 SI Guide,1,rad/s,rad/s
89,,2B,radian per second squared,Refer ISO/TC12 SI Guide,1,rad/s²,rad/s²
90,,2C,roentgen,,2,R,2.58 x 10⁻⁴ C/kg
91,,2G,volt AC,A unit of electric potential in relation to alternating current (AC).,3.1,V,V
92,,2H,volt DC,A unit of electric potential in relation to direct current (DC).,3.1,V,V
93,,2I,British thermal unit (international table) per hour,,2,BtuIT/h,2.930 711x 10⁻¹ W
94,,2J,cubic centimetre per second,,1S,cm³/s,10⁻⁶ m³/s
95,,2K,cubic foot per hour,,2,ft³/h,7.865 79 x 10⁻⁶ m³/s
96,,2L,cubic foot per minute,,2,ft³/min,4.719 474 x 10⁻⁴ m³/s
97,,2M,centimetre per second,,1S,cm/s,10⁻² m/s
98,,2N,decibel,,1,dB,0.115 129 3 Np
99,,2P,kilobyte,A unit of information equal to 10³ (1000) bytes.,3.6,kbyte,
100,,2Q,kilobecquerel,,1S,kBq,10³ Bq
101,,2R,kilocurie,,2S,kCi,3.7 x 10¹³ Bq
102,,2U,megagram,,1S,Mg,10³ kg
103,X,2V,megagram per hour,,3.8,Mg/h,
104,X,2W,bin,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction. 1st sheet).,3.3,,
105,,2X,metre per minute,,1M,m/min,0.016 666 m/s
106,,2Y,milliroentgen,,2,mR,2.58 x 10⁻⁷ C/kg
107,,2Z,millivolt,,1S,mV,10⁻³ V
108,,3B,megajoule,,1S,MJ,10⁶ J
109,,3C,manmonth,A unit of count defining the number of months for a person or persons to perform an undertaking.,3.9,,
110,X,3E,pound per pound of product,,3.9,,
111,X,3G,pound per piece of product,,3.9,,
112,X,3H,kilogram per kilogram of product,,3.9,,
113,X,3I,kilogram per piece of product,,3.9,,
114,X,4A,bobbin,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction. 1st sheet).,3.3,,
115,X,4B,cap,,3.9,,
116,,4C,centistokes,,2,cSt,10⁻⁶ m²/s
117,X,4E,twenty pack,,3.2,,
118,,4G,microlitre,,1M,µl,10⁻⁹ m³
